Price,Year,Mileage,Region,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_country_digit_x,mean_price_country_digit_y,mean_price_region,max_price_region,min_price_region,std_price_region,mean_price_sc,max_price_sc,min_price_sc,std_price_sc,mean_price_mm,max_price_mm,min_price_mm,std_price_mm
13995,2014,30214,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,23131.666666666668,28700,13995,7975.525583516946,17214.413636363635,23887,8924,2073.3110178524844
16000,2015,30881,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,14022.222222222223,17500,6000,4680.218418454896,17214.413636363635,23887,8924,2073.3110178524844
17419,2015,15390,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,21442.922077922078,43826,4995,10207.039085287422,17214.413636363635,23887,8924,2073.3110178524844
14999,2015,27333,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,20682.58064516129,38397,4900,8738.41366207021,17214.413636363635,23887,8924,2073.3110178524844
14999,2015,28326,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,22808.206896551725,47955,4850,9267.531582932606,17214.413636363635,23887,8924,2073.3110178524844
17000,2015,24671,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,25797.083333333332,165399,4900,23067.249136303883,17214.413636363635,23887,8924,2073.3110178524844
12500,2010,50821,Asia,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,13680.817802503478,89000,1900,7506.589268843966,9996.57142857143,20496,3991,5440.006827726808,11352.45581395349,19900,4990,2640.7577171877883
14895,2015,29755,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,17090.714285714286,24590,11890,4174.486424072056,17214.413636363635,23887,8924,2073.3110178524844
14999,2015,29169,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,15199.0,16999,13499,1435.2700094407326,17214.413636363635,23887,8924,2073.3110178524844
15499,2015,23599,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,16606.125,26499,7499,5057.107116062832,17214.413636363635,23887,8924,2073.3110178524844
15994,2014,18821,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,23033.511627906977,37886,7994,6984.220904370057,17214.413636363635,23887,8924,2073.3110178524844
15379,2015,26984,America do Norte,20289.184018149735,20289.184018149735,20289.184018149735,20289.184018149735,24620.360940588907,194000,1950,12372.191482960476,22642.157894736843,51993,4883,9609.346296313877,17214.413636363635,23887,8924,2073.3110178524844
